movieCd,movieNm,openDt,audiAcc,movieNmEn,showTm,nations,genres1,genres2,director,actors1,actors2,actors3,audit,companyCd,companyNm,rating
20219770,캔디맨,2021-09-22,49426,CANDYMAN,91,미국,미스터리,공포(호러),니아 다코스타,야히아 압둘 마틴 2세,테요나 패리스,네이산 스튜어트 자렛,15세이상관람가,20100603.0,유니버설픽쳐스인터내셔널 코리아(유),7.21
20219767,리스펙트,2021-09-08,9994,RESPECT,145,미국,드라마,,리슬 타미,제니퍼 허드슨,포레스트 휘테커,오드라 맥도날드,12세이상관람가,20100603.0,유니버설픽쳐스인터내셔널 코리아(유),7.38
20219628,정직한 후보2,2022-09-28,891273,Honest Candidate 2,106,한국,코미디,,장유정,라미란,김무열,윤경호,12세이상관람가,20100340.0,(주)수필름,6.94
20219473,나는 여기에 있다,2023-04-12,17542,,81,한국,범죄,액션,신근호,조한선,정진운,정태우,15세이상관람가,20160741.0,(주)미학인우주선,5.97
20219381,퍼피 구조대 더 무비,2021-08-18,57721,PAW Patrol: The Movie,86,미국,애니메이션,,캘런 브런커,정선혜,신용우,김새해,전체관람가,20188021.0,롯데컬처웍스(주)롯데엔터테인먼트,9.46
20219345,놉,2022-08-17,398082,Nope,130,미국,미스터리,공포(호러),조던 필,다니엘 칼루야,키키 팰머,스티븐 연,12세이상관람가,20100603.0,유니버설픽쳐스인터내셔널 코리아(유),7.42
20219311,말리그넌트,2021-09-15,39983,Malignant,111,미국,스릴러,미스터리,제임스 완,애나벨 월리스,,,청소년관람불가,20100043.0,워너브러더스 코리아(주),7.82
20219185,건파우더 밀크셰이크,2021-09-08,30196,Gunpowder Milkshake,114,프랑스,액션,,나봇 파푸샤도,카렌 길런,레나 헤디,안젤라 바셋,청소년관람불가,20110854.0,(주)씨제이이엔엠,6.58
20219115,라스트 듀얼: 최후의 결투,2021-10-20,57847,The Last Duel,152,미국,액션,스릴러,리들리 스콧,맷 데이먼,아담 드라이버,조디 코머,청소년관람불가,20161801.0,월트디즈니컴퍼니코리아 유한책임회사,8.88
20218985,레미니센스,2021-08-25,36986,Reminiscence,115,미국,SF,미스터리,리사 조이,휴 잭맨,레베카 퍼거슨,탠디 뉴튼,12세이상관람가,20100043.0,워너브러더스 코리아(주),
20218949,다이노 마이 프렌드,2021-08-26,3951,Diary of Dinosaurs,74,중국,애니메이션,,종위,김보나,홍수정,,전체관람가,2013216.0,(주)박수엔터테인먼트,5.07
20218875,극장판 도라에몽: 진구의 신공룡,2021-08-05,62627,Doraemon the Movie: Nobita’s New Dinosaur,110,일본,애니메이션,어드벤처,이마이 카즈아키,윤아영,김정아,최낙윤,전체관람가,20139617.0,(주)리틀빅픽쳐스,8.85
20218827,BIFAN2021 판타스틱 단편 걸작선 1,,20000,BIFAN2021 Fantastic Short Films 1,97,기타,기타,,,,,,,,,
20218815,블랙핑크 더 무비,2021-08-04,11761,BLACKPINK THE MOVIE,99,한국,공연,,오윤동,,,,전체관람가,20203082.0,씨제이포디플렉스 주식회사,9.23
20218764,씽2게더,2022-01-05,867308,Sing 2,109,미국,애니메이션,,가스 제닝스,매튜 매커너히,리즈 위더스푼,스칼렛 요한슨,전체관람가,20100603.0,유니버설픽쳐스인터내셔널 코리아(유),8.81
20218656,롱디,2023-05-10,35143,Long D,101,한국,멜로/로맨스,코미디,임재완,장동윤,박유나,고건한,12세이상관람가,20228853.0,트웰브져니(주),9.45
20218653,귀문,2021-08-25,89695,GUIMOON: The Lightless Door,85,한국,미스터리,스릴러,심덕근,김강우,김소혜,이정형,15세이상관람가,20123795.0,(주)고스트픽처스,6.15
20218604,극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,2021-09-15,196931,Crayon Shin-chan: Crash! Scribble Kingdom and Almost Four Heroes,103,일본,애니메이션,,쿄고쿠 타카히코,박영남,김환진,강희선,전체관람가,20110854.0,(주)씨제이이엔엠,8.85
20218567,아이스 로드,2021-07-21,26700,The Ice Road,109,미국,스릴러,,조나단 헨스라이,리암 니슨,로렌스 피쉬번,홀트 맥칼라니,12세이상관람가,2019641.0,(주)스튜디오 산타클로스엔터테인먼트,8.0
20218420,은혼 더 파이널,2021-07-22,27220,Gintama: The Final,103,일본,애니메이션,,,스기타 토모카즈,사카구치 다이스케,쿠기미야 리에,15세이상관람가,20191941.0,워터홀컴퍼니(주),9.18
20218392,올드,2021-08-18,108235,Old,108,미국,공포(호러),스릴러,M. 나이트 샤말란,가엘 가르시아 베르날,비키 크립스,토마신 맥켄지,12세이상관람가,20100603.0,유니버설픽쳐스인터내셔널 코리아(유),6.79
20218391,보스 베이비 2,2021-07-21,919456,Boss Baby: Family Business,107,미국,애니메이션,코미디,톰 맥그라스,알렉 볼드윈,에이미 세다리스,제임스 마스던,전체관람가,20100603.0,유니버설픽쳐스인터내셔널 코리아(유),8.98
20218364,랑종,2021-07-14,827673,The Medium,130,한국,공포(호러),스릴러,반종 피산다나쿤,나릴야 군몽콘켓,싸와니 우툼마,씨라니 얀키띠칸,청소년관람불가,20217643.0,(주)노던크로스,6.6
20218349,정글 크루즈,2021-07-28,246447,Jungle Cruise,127,미국,액션,어드벤처,자움 콜렛 세라,드웨인 존슨,에밀리 블런트,에드가 라미레즈,12세이상관람가,20161801.0,월트디즈니컴퍼니코리아 유한책임회사,7.51
20218348,이스케이프 룸 2: 노 웨이 아웃,2021-07-14,220311,Escape Room: Tournament of Champions,87,미국,액션,공포(호러),애덤 로비텔,테일러 러셀,로건 밀러,,15세이상관람가,20173221.0,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,8.14
20218345,괴기맨숀,2021-06-30,31893,,106,한국,공포(호러),,조바른,성준,김홍파,김보라,15세이상관람가,20124237.0,(주)엠씨엠씨,6.22
20218256,이터널스,2021-11-03,3045764,Eternals,155,미국,액션,어드벤처,클로이 자오,안젤리나 졸리,마동석,리처드 매든,12세이상관람가,20161801.0,월트디즈니컴퍼니코리아 유한책임회사,6.42
20218240,여고괴담 여섯번째 이야기 : 모교,2021-06-17,89402,WHISPERING CORRIDORS 6 : THE HUMMING,108,한국,미스터리,공포(호러),이미영,김서형,김현수,최리,15세이상관람가,20100025.0,(주)씨네이천,5.59
20218052,베놈 2: 렛 데어 비 카니지,2021-10-13,2120352,Venom: Let There Be Carnage,97,미국,액션,SF,앤디 서키스,톰 하디,미쉘 윌리엄스,나오미 해리스,15세이상관람가,20173221.0,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,6.4
20217982,서울괴담,2022-04-27,109060,Urban Myths,122,한국,공포(호러),,홍원기,김도윤,봉재현,서지수,15세이상관람가,20229042.0,쟈니브로스(주),5.53
20217950,킬러의 보디가드 2,2021-06-23,378087,Hitman's Wife's Bodyguard,116,미국,액션,코미디,패트릭 휴즈,라이언 레이놀즈,사무엘 L. 잭슨,셀마 헤이엑,청소년관람불가,20139196.0,TCO(주)더콘텐츠온,7.33
20217905,데시벨,2022-11-16,894259,Decibel,109,한국,액션,,황인호,김래원,채시은,임병훈,12세이상관람가,2019901.0,이스트드림시노펙스(주),6.76
